region,representative_location,latitude,longitude,weather_date,weather_code,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,precipitation_hours,wind_speed_max_kmh,wind_gust_max_kmh,is_rain_day,is_heavy_rain_day,rain_category
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-12 00:00:00.000,3,20,6.8,12.9,0,0,23,41,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-14 00:00:00.000,3,11.9,5.3,8.1,0,0,17.1,34.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-16 00:00:00.000,3,14.5,2.2,8.8,0,0,14,29.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-17 00:00:00.000,3,12.8,6.2,10,0,0,23.2,45.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-19 00:00:00.000,3,15.7,9.3,11.9,0,0,21.3,42.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-20 00:00:00.000,3,18.8,8.6,13.5,0,0,15.6,31.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-21 00:00:00.000,3,22.5,11,15.7,0,0,19.9,38.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-22 00:00:00.000,3,17,9.2,12.8,0,0,19.3,36.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-23 00:00:00.000,3,25.9,11,17.6,0,0,31.2,56.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-10-31 00:00:00.000,3,20.2,7.6,14.2,0,0,22.6,42.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-01 00:00:00.000,3,20.9,9.8,15,0,0,29,53.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-04 00:00:00.000,3,19.2,8.4,13.9,0,0,22.3,38.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-07 00:00:00.000,3,24.5,12.4,17.6,0,0,18.3,38.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-08 00:00:00.000,3,24,15.4,19.6,0,0,26.2,50,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-10 00:00:00.000,3,15.7,10.4,13.5,0,0,29,54,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-11 00:00:00.000,3,17.3,10.7,13.4,0,0,31.5,60.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-12 00:00:00.000,3,16,9.1,12.9,0,0,24.1,47.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-17 00:00:00.000,3,13.7,6.7,10.8,0,0,20.2,44.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-18 00:00:00.000,3,16.5,10.3,13.6,0,0,25.7,56.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-19 00:00:00.000,3,20.2,10.8,16.1,0,0,16.6,34.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-26 00:00:00.000,3,18.4,12,15,0,0,24.8,54.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-28 00:00:00.000,3,28.3,13.3,20.2,0,0,34.3,73.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-11-29 00:00:00.000,3,17.6,11.8,13.7,0,0,19.9,46.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-01 00:00:00.000,3,24.2,12.1,16.9,0,0,21.5,46.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-02 00:00:00.000,3,18.6,11.4,15,0,0,18.5,43.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-03 00:00:00.000,3,29.3,13.9,21.2,0,0,29.1,65.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-04 00:00:00.000,3,25.1,14.4,20.8,0,0,19.8,45,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-06 00:00:00.000,3,21,13.6,16.6,0,0,19.4,45.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-11 00:00:00.000,3,26.8,12.9,19.8,0,0,26.3,59,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-12 00:00:00.000,3,25.4,12.7,19.4,0,0,14.3,37.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-24 00:00:00.000,3,19.1,13.7,16.2,0,0,19.6,43.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-25 00:00:00.000,3,20,15.5,17.4,0,0,17.9,38.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-12-28 00:00:00.000,3,16.7,9,13.8,0,0,23.3,51.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-02 00:00:00.000,3,17.4,10.5,14.6,0,0,19.3,42.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-16 00:00:00.000,3,16.7,11.8,14.2,0,0,17.2,38.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-20 00:00:00.000,3,18.9,10.5,14.8,0,0,15.8,38.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-21 00:00:00.000,3,19.5,13.1,16.2,0,0,19.3,45.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-22 00:00:00.000,3,19.9,12.3,16.3,0,0,25.2,56.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-24 00:00:00.000,3,17.3,13.3,15.5,0,0,22.8,49,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-28 00:00:00.000,3,19.5,10.2,15.7,0,0,21.8,45.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-01-30 00:00:00.000,3,17.8,14.3,16,0,0,22.7,50.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-03 00:00:00.000,3,21.1,14.9,17.2,0,0,14.8,32.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-04 00:00:00.000,3,19,13,15.6,0,0,13.6,33.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-05 00:00:00.000,3,18.6,11.5,15.4,0,0,16.4,39.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-07 00:00:00.000,3,16.6,13.6,14.8,0,0,18.4,38.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2025-02-09 00:00:00.000,3,25.4,15.2,18.4,0,0,22.6,52.6,False,False,"Dry"
